Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,36004,City of Abidjan,Abidjan,Côte d'Ivoire,Africa,Yes,Yes,public,CARTOGRAPHIE DES RISQUES ABIDJAN (3)-1-1.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Cette zone partielle contient des sites à risque et enregistre de nombreuses catastrophes en saison pluvieuse",2016,Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Entreprise privée",Adaptation goal(s),6110642,2021,POINT (-4.0083 5.36),02/17/2023 03:20:42 AM
Cities 2022,10806,London Borough of Enfield,,United Kingdom of Great Britain and Northern Ireland,Europe,No,No,public,https://gisportal.london.gov.uk/portal/apps/webappviewer/index.html?id=7322196111894840b5e9bae464478167,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Refers to Greater London",2021,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,333587,2020,,02/17/2023 03:20:42 AM
Cities 2022,35858,City of Cape Town,Cape Town,South Africa,Africa,Yes,Yes,public,"1 - Inception Report.pdf, 2VulnerabilityandHazardAssessmentReport.pdf, ClimateChangeHazardVulnerabilityRiskAssessment-EconomicRiskAnalysisReport.pdf",The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,4678900,2021,POINT (18.4239 -33.9253),02/17/2023 03:20:42 AM
Cities 2022,54128,"City of Reno, NV",Reno,United States of America,United States of America,No,Yes,public,https://www.washoecounty.gov/em/files/Regional-HMP-2020.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This covers all of Washoe County of which Reno makes up most of the population",2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s),250903,2020,POINT (-119.814 39.5296),02/17/2023 03:20:42 AM
Cities 2022,848474,Richmond Council,,United Kingdom of Great Britain and Northern Ireland,Europe,No,No,public,Climate vulnerability risk impact mapping tool.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,195200,2021,POINT (-0.32574 51.448),02/17/2023 03:20:42 AM
Cities 2022,43937,Wellington City Council,Wellington,New Zealand,Oceania,No,Yes,public,WCC_sea-level-rise-update_FINAL 2021.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature,Consultant,Adaptation goal(s) and adaptation plan,216189,2022,POINT (174.776 -41.2865),02/17/2023 03:20:42 AM
Cities 2022,43938,"The Executive Council, Govt of Dubai",Dubai,United Arab Emirates,Middle East,Yes,Yes,public,Dubai climate change adaptation strategy - ES .pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation goal(s),3478300,2021,POINT (55.2708 25.2048),02/17/2023 03:20:42 AM
Cities 2022,50571,"City of Victoria, BC",Victoria,Canada,Canada,No,Yes,public,Community Climate Risk and Vulnerability Assessment Report (1).pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment is focused within the City's jurisdiction but includes cross-jurisdictional risks such as impacts resulting from disruptions in off-island transport, shifting ecosystems,  or regional wildfire activity.",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,91867,2021,POINT (-123.366 48.4284),02/17/2023 03:20:42 AM
Cities 2022,36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,Yes,Yes,public,https://ama.gov.gh/documents/Accra-Resilience-Strategy.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2017,,,Adaptation goal(s),2036889,2020,POINT (-0.16819 5.56543),02/17/2023 03:20:42 AM
Cities 2022,50558,"City of London, ON","London, ON",Canada,Canada,No,Yes,public,London Risk Assessment Report 2014.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2014,A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,422300,2021,POINT (-81.2497 42.9837),02/17/2023 03:20:42 AM
Cities 2022,834374,Tagum City,,Philippines,Southeast Asia,No,No,public,Tagum City Envi Code C#16 s-202.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,312324,2022,,02/17/2023 03:20:42 AM
Cities 2022,10495,"City of Las Vegas, NV",Las Vegas,United States of America,United States of America,No,Yes,public,https://files.lasvegasnevada.gov/planning/CLV-2050-Master-Plan.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers regional area due to conservation efforts such as renewable energy sources, water conservation, waste and recycling goals",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; National/ central government; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,667679,2021,POINT (-115.14 36.1699),02/17/2023 03:20:42 AM
Cities 2022,73413,Commune de Cocody,Abidjan,Côte d'Ivoire,Africa,No,Yes,public,Evaluation Risques et Vulnerabilité Cocody.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: La Municipalité de Cocody se trouve dans le District Autonome d'Abidjan qui comprend douze (12) autres municipalités d'où une couverture plus grande.",2015,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,447055,2021,POINT (-4.00331 5.33369),02/17/2023 03:20:42 AM
Cities 2022,1499,City of Barcelona,Barcelona,Spain,Europe,Yes,Yes,public,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap03_inudabilitat_urbana-20180227.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1636732,2021,POINT (2.1775 41.3823),02/17/2023 03:20:42 AM
Cities 2022,862936,"City of Melrose, MA",,United States of America,United States of America,No,No,public,https://www.cityofmelrose.org/sites/g/files/vyhlif3451/f/pages/melrose_ma-final.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established to update the assessment at least every five years,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,29817,2020,,02/17/2023 03:20:42 AM
Cities 2022,35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,Yes,Yes,public,Analisis de Riesgos Climpáticos ESP Final.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; International organization,Adaptation goal(s) and adaptation plan,5243392,2020,POINT (-103.35 20.6597),02/17/2023 03:20:42 AM
Cities 2022,50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,No,Yes,public,http://www.pmf.sc.gov.br/arquivos/arquivos/pdf/17_09_2014_12.18.46.47d9f3cf658ee472868d5324eb4f2c6d.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2014,Assessment considers vulnerable populations,"Other, please specify: Equipe técnica da secretaria municipal de habitação e saneamento ambiental e equipe técnica da Fundação Israel Pinheiro",Adaptation goal(s),421240,2010,POINT (-48.5482 -27.595),02/17/2023 03:20:42 AM
Cities 2022,840018,Municipalidad Distrital de Ate,Lima,Peru,Latin America,No,Yes,public,Ficha Técnica N°11 Ate.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,"Other, please specify: especialistas ambientales del área",Adaptation goal(s),599196,2017,POINT (-76.8773 -12.0327),02/17/2023 03:20:42 AM
Cities 2022,831952,Municipalidad de Portoviejo,,Ecuador,Latin America,No,Yes,public,Estudios Ambientales y territoriales para un desarrollo sostenible en Portoviejo.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,238430,2021,,02/17/2023 03:20:42 AM
Cities 2022,46473,Municipality of Saragossa (Spain),Zaragoza,Spain,Europe,No,Yes,public,http://www.zaragoza.es/contenidos/medioambiente/2021-PACES-Zaragoza-2030.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Consultant; Relevant department within jurisdiction,Adaptation plan,675301,2021,POINT (-0.88701 41.6086),02/17/2023 03:20:42 AM
Cities 2022,31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,Yes,Yes,public,"Relatorio-Final_vf5.pdf, vulnerabil amb f.pdf, vulnerabil soc f.pdf",The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Alto Iguaçu River Watershed Area",2014,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; International organization; Relevant department within jurisdiction,Adaptation goal(s),1967291,2021,POINT (-49.2647 -25.4311),02/17/2023 03:20:42 AM
Cities 2022,50572,"City of Saint Paul, MN",Saint Paul,United States of America,United States of America,No,Yes,public,https://www.stpaul.gov/sites/default/files/Media%20Root/Mayor's%20Office/SFCR-%20FINAL.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,311527,2020,POINT (-93.09 44.9537),02/17/2023 03:20:42 AM
Cities 2022,60905,Municipalidad de Maipú,,Chile,Latin America,No,Yes,public,PLCC_Maipu2019_.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established to update the assessment at least every five years,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,521627,2017,,02/17/2023 03:20:42 AM
Cities 2022,73810,"Miami-Dade, FL",,United States of America,United States of America,No,Yes,public,REPORT - VULNERABILITY OF SEPTIC AND SEWER SYSTEMS TO SLR - JAN 2021.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,2662777,2021,,02/17/2023 03:20:42 AM
Cities 2022,63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,Middle East,No,Yes,public,Climate Change Risk and Vulnerability Assessment for Abasan Al-Kabira.docx,The assessment has been attached,,2019,Assessment considers vulnerable populations,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,32000,2020,POINT (34.344 31.3231),02/17/2023 03:20:42 AM
Cities 2022,60185,City of Vantaa,Vantaa,Finland,Europe,No,Yes,public,Vantaan kaupungin kestävän energian ja ilmaston toimintasuunnitelma 2021.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,239206,2022,,02/17/2023 03:20:42 AM
Cities 2022,54331,City of Sagamihara,,Japan,East Asia,No,No,public,https://www.city.sagamihara.kanagawa.jp/_res/projects/default_project/_page_/001/008/147/2020/zenppen.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,726087,2022,,02/17/2023 03:20:42 AM
Cities 2022,60236,Trelleborg Municipality,Trelleborg,Sweden,Europe,No,Yes,public,va-strategi-2020-2040.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,Assessment considers water security,Relevant department within jurisdiction,Adaptation goal(s),46386,2021,POINT (13.1569 55.3751),02/17/2023 03:20:42 AM
Cities 2022,74418,"Town of Breckenridge, CO",Breckenridge,United States of America,United States of America,No,No,public,https://www.summitcountyco.gov/DocumentCenter/View/242/Summit-County-HMP-Main-Plan,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the entirety of Summit County, but has subsections for each jurisdiction, including one specific to Breckenridge.",2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,5054,2020,POINT (106.038 39.4817),02/17/2023 03:20:42 AM
Cities 2022,60599,"Town of Bridgewater, NS",Bridgewater,Canada,Canada,No,Yes,public,https://www.bridgewater.ca/document-library/sustainability/sustainable-bridgewater/565-bridgewater-municipal-climate-change-action-plan-2013/file,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The majority of the Municipal Climate Change Action Plan covers the geographic boundaries of the Town of Bridgewater, but elements of the analysis and action planning are regional in nature, covering neighbouring municipalities.",2013,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,8790,2021,POINT (-64.5188 44.3786),02/17/2023 03:20:42 AM
Cities 2022,53959,"City of Fayetteville, AR",Fayetteville,United States of America,United States of America,No,No,public,https://www.fayetteville-ar.gov/DocumentCenter/View/18820/UA-and-CoF-Climate-Resilience-Assessment--2018-V6,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,93949,2020,POINT (-94.1719 36.0821),02/17/2023 03:20:42 AM
Cities 2022,35857,"City of Cincinnati, OH",Cincinnati,United States of America,United States of America,No,Yes,public,https://www.cincinnati-oh.gov/oes/equity/climate-equity-indicators/,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers transition risks; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,308935,2021,POINT (-84.512 39.1031),02/17/2023 03:20:42 AM
Cities 2022,831431,Cornwall Council,,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,"Agriculture scenario assessment using SWAT and UKCP18.pdf, Businesses in Cornwall - Climate-related Risks, Adaptation and Opportunities.pdf, FUTURE HEAT RISK IN CORNWALL.pdf, Health and Wellbeing - Climate-related Risks, Adaptation and Opportunities.pdf, List of the Climate Impacts Drivers (CIDs) considered in Chapter 12 of the IPCC WGI AR6.pdf, Residential Properties and Critical Infrastructure in Cornwall - Climate-related Risks, Adaptation and Opportunities.pdf, Spoil Heap Stability Report_John Coggan.pdf, Structure of the Assessment of Climate Change impacting Cornwall.pdf, Summary of information and documentation .pdf, Task2_Hydrological modelling of Cornwall using UKCP18 (RCP 8.5).pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s),568210,2022,,02/17/2023 03:20:42 AM
Cities 2022,31446,Taipei City Government,Taipei,"Taiwan, China",East Asia,No,Yes,public,"2021臺北市自願檢視報告(Taipei City Voluntary Local Review)(中).pdf, 2021臺北市自願檢視報告(Taipei City Voluntary Local Review).pdf",The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,2524393,2021,POINT (121.564 25.0375),02/17/2023 03:20:42 AM
Cities 2022,859106,City of Kanazawa,,Japan,East Asia,No,No,public,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/kankyoseisakuka/gyomuannai/ondanka/jikkoukeikaku/7449.html,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,,Relevant department within jurisdiction,Adaptation plan,460137,2022,,02/17/2023 03:20:42 AM
Cities 2022,74672,Bursa Nilüfer Municipality,,Turkey,Europe,No,Yes,public,https://www.nilufer.bel.tr/i/pdf/Nilufer%20Surdurulebilir%20enerji%20eylem%20plani.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2021,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,518312,2021,POINT (28 40),02/17/2023 03:20:42 AM
Cities 2022,862760,"City of Oxford, OH",,United States of America,United States of America,No,Yes,public,OxfordOH_RiskandVulnerability.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,"Other, please specify: Probability of future Occurrence,  Impact, Geographical Extent, Warning Time, Duration","Other, please specify: A team of Graduate Students of Environmental Science at Miami University authored the assessment",Adaptation goal(s),23000,2020,,02/17/2023 03:20:42 AM
Cities 2022,35870,"City of Miami, FL",Miami,United States of America,United States of America,Yes,No,public,https://southeastfloridaclimatecompact.org/wp-content/uploads/2020/04/Sea-Level-Rise-Projection-Guidance-Report_FINAL_02212020.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: 4 Southeast Florida counties - Miami-Dade, Broward, Palm Beach, Monroe",2020,A process has been established to update the assessment at least every five years; Assessment includes a high-emissions scenario,"Other, please specify: Interjurisdictional team and academia",Adaptation goal(s),456923,2022,POINT (-80.1918 25.7617),02/17/2023 03:20:42 AM
Cities 2022,826396,Municipality of Sintra,Sintra,Portugal,Europe,No,Yes,public,PlanoMunicipaldeEmergenciadeProtecaoCivil.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,"Assessment considers nature; Other, please specify: Public Health, Spatial planning, Tourism, Infrastructures",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,392887,2021,POINT (-9.38811 38.7984),02/17/2023 03:20:42 AM
Cities 2022,60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,No,Yes,public,Plan Local de Cambio Climático de la municipalidad de San Isidro 2022-2050.docx,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,64470,2017,POINT (-77.0273 -12.0977),02/17/2023 03:20:42 AM
Cities 2022,31163,Istanbul Metropolitan Municipality,Istanbul,Turkey,Europe,Yes,Yes,public,https://cevre.ibb.istanbul/wp-content/uploads/2022/06/istanbul_climate_change_action_plan_v03.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,15840900,2021,POINT (28.9784 41.0082),02/17/2023 03:20:42 AM
Cities 2022,74414,"Boulder County, CO",Boulder County,United States of America,United States of America,No,No,public,Heat Vulnerability Map,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2022,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,324682,2020,POINT (-105.5 40.15),02/17/2023 03:20:42 AM
Cities 2022,58513,"City of Medford, MA",Medford,United States of America,United States of America,No,Yes,public,https://drive.google.com/file/d/1DvxUiXpGnp8soxA3njZUgCSMBcWki_fm/view,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,59662,2020,POINT (-122.876 42.3265),02/17/2023 03:20:42 AM
Cities 2022,55325,Municipality of Águeda,Águeda,Portugal,Europe,No,Yes,public,"Caderno_I_Diagnostico.pdf, Caderno_II_Plano_Acao.pdf",The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O plano elaborado cobre a totalidade do concelho de Águeda, extrapolando os limites da cidade de Águeda, pela natureza dos estudos efetuados,  quer a base quer a área de influência das medidas é de escala regional.",2015,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Dedicated team within jurisdiction; Other, please specify: COMISSÃO MUNICIPAL DE DEFESA DA FLORESTA que integra diversas entidades, como associações de cidadãos, associações humanitárias, cooperativas agroflorestais, entre outros; Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,46131,2021,POINT (-8.44582 40.5753),02/17/2023 03:20:42 AM
Cities 2022,862482,San Pedro Garza García,,Mexico,Latin America,No,No,public,https://www.sanpedro.gob.mx/ConsultaAtlasPR/,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s),132169,2020,,02/17/2023 03:20:42 AM
Cities 2022,50208,Adana Metropolitan Municipality,Adana,Turkey,Europe,No,Yes,public,https://www.ozelkalem.com.tr/adana-iklim-degisikligiyle-mucadele-icin-dugmeye-basti/,"Other, please specify: double check link",,,,,Adaptation goal(s),0,,POINT (35.334 36.995),02/17/2023 03:20:42 AM
Cities 2022,31182,"City of San Francisco, CA",San Francisco,United States of America,United States of America,Yes,Yes,public,https://sfclimatehealth.org/wp-content/uploads/2018/12/SFDPH_ClimateHealthAdaptFramework2017a.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,873965,2020,POINT (-122.419 37.7749),02/17/2023 03:20:42 AM
Cities 2022,54116,"City of Dubuque, IA",Dubuque,United States of America,United States of America,No,Yes,public,https://www.cityofdubuque.org/DocumentCenter/View/49034/Climate-Vulnerability-Assessment-2019,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: All studies done are to the scope of the cities boundaries or compared to the state or surrounding states.",2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,59667,2020,POINT (-90.5071 42.5006),02/17/2023 03:20:42 AM
Cities 2022,74453,"City of Highland Park, IL",,United States of America,United States of America,No,Yes,public,City of Highand Park Climate Hazard Assessment_2019.06.24 FINAL.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security; Other, please specify: Transport, Public Health, Finance and Economy, Population",Consultant; Dedicated team within jurisdiction,Adaptation goal(s),30177,2021,,02/17/2023 03:20:42 AM
Cities 2022,35910,Pune Municipal Corporation,Pune,India,South Asia,No,No,public,https://pmc.gov.in/sites/default/files/15-MARCH-2016-PUNE-PRESENTATION-REPORT-30.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s),3556824,2011,,02/17/2023 03:20:42 AM
